CodigoEstacion,NombreEstacion,Latitud,Longitud,Altitud,Categoria,Entidad,AreaOperativa,Departamento,Municipio,FechaInstalacion,FechaSuspension,IdParametro,Etiqueta,DescripcionSerie,Frecuencia,Fecha,Valor,Grado,Calificador,NivelAprobacion
21205850,COLOMBIANO EL [21205850],5.0338888890,-73.84819444,2567,Meteorológica Especial,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 11 - Cundinamarca-Amazonas-San Andrés,Cundinamarca,Sesquilé,15/09/1976 00:00,03/05/2019 14:59,PRECIPITACION,PTPM_TT_M,Precipitación total mensual,Mensual,2002-03-01 00:00,73.1,50,,900
21205850,COLOMBIANO EL [21205850],5.0338888890,-73.84819444,2567,Meteorológica Especial,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 11 - Cundinamarca-Amazonas-San Andrés,Cundinamarca,Sesquilé,15/09/1976 00:00,03/05/2019 14:59,PRECIPITACION,PTPM_TT_M,Precipitación total mensual,Mensual,2002-04-01 00:00,153.2,50,,900
21205850,COLOMBIANO EL [21205850],5.0338888890,-73.84819444,2567,Meteorológica Especial,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 11 - Cundinamarca-Amazonas-San Andrés,Cundinamarca,Sesquilé,15/09/1976 00:00,03/05/2019 14:59,PRECIPITACION,PTPM_TT_M,Precipitación total mensual,Mensual,2002-05-01 00:00,104.6,50,,900
21205850,COLOMBIANO EL [21205850],5.0338888890,-73.84819444,2567,Meteorológica Especial,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 11 - Cundinamarca-Amazonas-San Andrés,Cundinamarca,Sesquilé,15/09/1976 00:00,03/05/2019 14:59,PRECIPITACION,PTPM_TT_M,Precipitación total mensual,Mensual,2002-06-01 00:00,45.6,50,,900
21205850,COLOMBIANO EL [21205850],5.0338888890,-73.84819444,2567,Meteorológica Especial,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 11 - Cundinamarca-Amazonas-San Andrés,Cundinamarca,Sesquilé,15/09/1976 00:00,03/05/2019 14:59,PRECIPITACION,PTPM_TT_M,Precipitación total mensual,Mensual,2002-07-01 00:00,80.8,50,,900
21205850,COLOMBIANO EL [21205850],5.0338888890,-73.84819444,2567,Meteorológica Especial,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 11 - Cundinamarca-Amazonas-San Andrés,Cundinamarca,Sesquilé,15/09/1976 00:00,03/05/2019 14:59,PRECIPITACION,PTPM_TT_M,Precipitación total mensual,Mensual,2002-08-01 00:00,78.8,50,,900
21205850,COLOMBIANO EL [21205850],5.0338888890,-73.84819444,2567,Meteorológica Especial,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 11 - Cundinamarca-Amazonas-San Andrés,Cundinamarca,Sesquilé,15/09/1976 00:00,03/05/2019 14:59,PRECIPITACION,PTPM_TT_M,Precipitación total mensual,Mensual,2002-09-01 00:00,68,50,,900
21205850,COLOMBIANO EL [21205850],5.0338888890,-73.84819444,2567,Meteorológica Especial,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 11 - Cundinamarca-Amazonas-San Andrés,Cundinamarca,Sesquilé,15/09/1976 00:00,03/05/2019 14:59,PRECIPITACION,PTPM_TT_M,Precipitación total mensual,Mensual,2002-10-01 00:00,78.8,50,,900
21205850,COLOMBIANO EL [21205850],5.0338888890,-73.84819444,2567,Meteorológica Especial,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 11 - Cundinamarca-Amazonas-San Andrés,Cundinamarca,Sesquilé,15/09/1976 00:00,03/05/2019 14:59,PRECIPITACION,PTPM_TT_M,Precipitación total mensual,Mensual,2002-11-01 00:00,33.7,50,,900
21205850,COLOMBIANO EL [21205850],5.0338888890,-73.84819444,2567,Meteorológica Especial,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 11 - Cundinamarca-Amazonas-San Andrés,Cundinamarca,Sesquilé,15/09/1976 00:00,03/05/2019 14:59,PRECIPITACION,PTPM_TT_M,Precipitación total mensual,Mensual,2002-12-01 00:00,14.2,4,,900
